asof0,asof1,cp,K,T,price0_pde,delta0_pde,price0_bsm,delta0_bsm,S0,S1,T1,price1_pde,price1_bsm,pnl_pde,pnl_bsm,m,T_bucket,m_bucket,pair
2025-09-23,2025-09-24,C,6585.0,0.005479452054794521,80.03449786351207,0.931895394207779,80.30000000000018,0.8679041367869998,6656.92,6637.97,0.005479452054794521,114.66814869623562,64.47348244710702,1.6094177202372322,0.3967833921134769,0.9886348281712133,<1.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6585.0,0.005479452054794521,4.3774582130275075,-0.06810460579216547,4.6500002424591,-0.13346550673347632,6656.92,6637.97,0.005479452054794521,56.21684366123927,7.799492470942141,0.20941772023847682,-1.0291713525993518,0.9886348281712133,<1.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6590.0,0.005479452054794521,77.29539324960872,0.9763565213715412,75.90000012209748,0.8531914331040287,6656.92,6637.97,0.005479452054794521,149.37100166999306,60.399282588189635,2.601956079990522,0.2679776573211825,0.9893855000225202,<1.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6590.0,0.005479452054794521,6.6355160595222324,-0.02364347862844913,5.150000194431868,-0.14661201889771078,6656.92,6637.97,0.005479452054794521,95.91553467218351,8.595766496724082,1.2519560799908926,-1.0782977581115931,0.9893855000225202,<1.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6595.0,0.005479452054794521,72.75185682001667,0.9550526377814009,71.30000000005111,0.8411309773118522,6656.92,6637.97,0.005479452054794521,133.5615053989706,56.078298301601535,2.5982474859573585,0.4394320200594315,0.9901361718738271,<1.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6595.0,0.005479452054794521,7.089142090334558,-0.04494736221857469,5.650000000027603,-0.16017665703384598,6656.92,6637.97,0.005479452054794521,85.10187643834111,9.402634275156288,1.1482474859580178,-1.0353476507913522,0.9901361718738271,<1.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6600.0,0.005479452054794521,68.13520680003634,0.9171590383299395,66.84999998449803,0.8262948203874563,6656.92,6637.97,0.005479452054794521,108.21899341188956,51.96218193117511,2.230163776352196,0.5082868463421555,0.990886843725134,<1.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6600.0,0.005479452054794521,7.469654530753948,-0.08284096167003664,6.199999989305979,-0.1749811459346398,6656.92,6637.97,0.005479452054794521,64.75520248843438,10.285664954313233,0.7801637763528213,-0.9658927154613917,0.990886843725134,<1.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6605.0,0.005479452054794521,66.07860901436078,0.945498749286852,62.50000005116999,0.80950534177691,6656.92,6637.97,0.005479452054794521,136.09880843605734,47.98480003547593,3.1172012989856768,0.5401262266723013,0.991637515576441,<1.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6605.0,0.005479452054794521,10.410219205486607,-0.054501250712953205,6.85000003817413,-0.19173310222121503,6656.92,6637.97,0.005479452054794521,97.63085554978898,11.307311074531299,1.6672012989895477,-0.933342287091989,0.991637515576441,<1.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6610.0,0.005479452054794521,62.59487562774449,0.957443553057767,58.250000000008185,0.7908281940395572,6656.92,6637.97,0.005479452054794521,131.7043853882047,44.144164130440004,3.7435553304445115,0.5861942770494668,0.9923881874277478,<1.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6610.0,0.005479452054794521,11.923648279269432,-0.04255644694214098,7.55000000000814,-0.20973963612814686,6656.92,6637.97,0.005479452054794521,98.23227053910996,12.404924512117532,2.2435553304464353,-0.924566104628346,0.9923881874277478,<1.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6615.0,0.005479452054794521,57.952611706173045,0.9096553665796343,53.94999994839236,0.7720934781746212,6656.92,6637.97,0.005479452054794521,107.62362422557088,40.25934043153484,3.6379691966839047,1.0311714114089288,0.9931388592790548,<1.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6615.0,0.005479452054794521,12.278546818096379,-0.09034463342041574,8.299999956696638,-0.22906585950595057,6656.92,6637.97,0.005479452054794521,79.14734741365422,13.579825805768905,1.837969196683137,-0.7907980376377228,0.9931388592790548,<1.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,C,6620.0,0.005479452054794521,53.78160126948206,0.8573424985755619,49.79999988200598,0.7507685888082117,6656.92,6637.97,0.005479452054794521,106.07768415924636,36.5730467335934,3.1466403480067484,1.1270647579154822,0.9938895311303617,<1.0%,0.98-1.00,2025-09-23→2025-09-24
2025-09-23,2025-09-24,P,6620.0,0.005479452054794521,13.104698841804618,-0.14265750142450975,9.199999725588668,-0.2508895396261572,6656.92,6637.97,0.005479452054794521,82.59724538451209,14.950977275917012,1.2966403480055662,-0.7543567759156327,0.9938895311303617,<1.0%,0.98-1.00,2025-09-23→2025-09-24
