asof,timestamp,cp,K,T,bid,ask,mid,S,expiry,symbol
20250903,2025-09-03 15:59:59,C,6375.0,0.005479452054794521,82.1,86.6,84.35,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,P,6375.0,0.005479452054794521,7.8,8.1,7.949999999999999,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,C,6380.0,0.005479452054794521,77.7,82.3,80.0,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,P,6380.0,0.005479452054794521,8.6,8.9,8.75,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,C,6385.0,0.005479452054794521,73.6,78.0,75.8,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,P,6385.0,0.005479452054794521,9.3,9.6,9.45,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,C,6390.0,0.005479452054794521,69.4,73.9,71.65,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,P,6390.0,0.005479452054794521,10.1,10.5,10.3,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,C,6395.0,0.005479452054794521,65.3,69.8,67.55,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,P,6395.0,0.005479452054794521,11.0,11.3,11.15,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,C,6400.0,0.005479452054794521,61.3,65.5,63.4,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,P,6400.0,0.005479452054794521,12.0,12.3,12.15,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,C,6405.0,0.005479452054794521,57.3,61.7,59.5,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,P,6405.0,0.005479452054794521,13.0,13.3,13.15,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,C,6410.0,0.005479452054794521,53.4,57.8,55.599999999999994,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,P,6410.0,0.005479452054794521,14.1,14.4,14.25,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,C,6415.0,0.005479452054794521,51.7,52.1,51.900000000000006,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,P,6415.0,0.005479452054794521,15.3,15.6,15.45,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,C,6420.0,0.005479452054794521,48.0,48.4,48.2,6448.26,2025-09-05,SPX
20250903,2025-09-03 15:59:59,P,6420.0,0.005479452054794521,16.6,16.9,16.75,6448.26,2025-09-05,SPX
