asof,timestamp,cp,K,T,bid,ask,mid,S,expiry,symbol
20250926,2025-09-26 15:59:59,C,6570.0,0.00821917808219178,76.9,77.9,77.4,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,P,6570.0,0.00821917808219178,1.8,2.0,1.9,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,C,6575.0,0.00821917808219178,72.1,73.0,72.55,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,P,6575.0,0.00821917808219178,2.05,2.25,2.15,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,C,6580.0,0.00821917808219178,67.4,68.3,67.85,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,P,6580.0,0.00821917808219178,2.3,2.55,2.425,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,C,6585.0,0.00821917808219178,62.8,63.6,63.2,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,P,6585.0,0.00821917808219178,2.65,2.9,2.775,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,C,6590.0,0.00821917808219178,58.1,59.1,58.6,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,P,6590.0,0.00821917808219178,3.0,3.3,3.15,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,C,6595.0,0.00821917808219178,53.6,54.5,54.05,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,P,6595.0,0.00821917808219178,3.5,3.8,3.65,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,C,6600.0,0.00821917808219178,49.1,50.5,49.8,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,P,6600.0,0.00821917808219178,4.0,4.3,4.15,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,C,6605.0,0.00821917808219178,44.7,45.6,45.150000000000006,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,P,6605.0,0.00821917808219178,4.6,4.9,4.75,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,C,6610.0,0.00821917808219178,40.4,41.3,40.849999999999994,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,P,6610.0,0.00821917808219178,5.3,5.6,5.449999999999999,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,C,6615.0,0.00821917808219178,36.2,37.1,36.650000000000006,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,P,6615.0,0.00821917808219178,6.1,6.4,6.25,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,C,6620.0,0.00821917808219178,32.2,33.0,32.6,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,P,6620.0,0.00821917808219178,7.1,7.4,7.25,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,C,6625.0,0.00821917808219178,28.5,28.9,28.7,6643.7,2025-09-29,SPX
20250926,2025-09-26 15:59:59,P,6625.0,0.00821917808219178,8.2,8.5,8.35,6643.7,2025-09-29,SPX
