asof,timestamp,cp,K,T,bid,ask,mid,S,expiry,symbol
20250923,2025-09-23 15:59:59,C,6585.0,0.005479452054794521,79.4,81.2,80.30000000000001,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,P,6585.0,0.005479452054794521,4.5,4.8,4.65,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,C,6590.0,0.005479452054794521,74.9,76.9,75.9,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,P,6590.0,0.005479452054794521,5.0,5.3,5.15,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,C,6595.0,0.005479452054794521,70.4,72.2,71.30000000000001,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,P,6595.0,0.005479452054794521,5.5,5.8,5.65,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,C,6600.0,0.005479452054794521,66.0,67.7,66.85,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,P,6600.0,0.005479452054794521,6.0,6.4,6.2,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,C,6605.0,0.005479452054794521,61.6,63.4,62.5,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,P,6605.0,0.005479452054794521,6.7,7.0,6.85,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,C,6610.0,0.005479452054794521,57.4,59.1,58.25,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,P,6610.0,0.005479452054794521,7.4,7.7,7.550000000000001,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,C,6615.0,0.005479452054794521,53.0,54.9,53.95,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,P,6615.0,0.005479452054794521,8.1,8.5,8.3,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,C,6620.0,0.005479452054794521,48.9,50.7,49.8,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,P,6620.0,0.005479452054794521,9.0,9.4,9.2,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,C,6625.0,0.005479452054794521,45.0,46.7,45.85,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,P,6625.0,0.005479452054794521,10.0,10.4,10.2,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,C,6630.0,0.005479452054794521,41.7,42.2,41.95,6656.92,2025-09-25,SPX
20250923,2025-09-23 15:59:59,P,6630.0,0.005479452054794521,11.0,11.5,11.25,6656.92,2025-09-25,SPX
