asof,timestamp,cp,K,T,bid,ask,mid,S,expiry,symbol
20250917,2025-09-17 15:59:59,C,6565.0,0.005479452054794521,53.5,54.5,54.0,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6565.0,0.005479452054794521,56.3,58.3,57.3,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6565.0,0.005479452054794521,10.3,10.9,10.600000000000001,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6565.0,0.005479452054794521,13.8,14.2,14.0,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6570.0,0.005479452054794521,49.5,50.5,50.0,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6570.0,0.005479452054794521,53.2,53.7,53.45,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6570.0,0.005479452054794521,11.3,11.9,11.600000000000001,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6570.0,0.005479452054794521,14.9,15.4,15.15,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6575.0,0.005479452054794521,45.4,46.6,46.0,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6575.0,0.005479452054794521,49.5,50.0,49.75,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6575.0,0.005479452054794521,12.3,13.1,12.7,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6575.0,0.005479452054794521,16.2,16.6,16.4,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6580.0,0.005479452054794521,41.8,42.8,42.3,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6580.0,0.005479452054794521,45.8,46.3,46.05,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6580.0,0.005479452054794521,13.6,14.3,13.95,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6580.0,0.005479452054794521,17.5,18.0,17.75,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6585.0,0.005479452054794521,38.2,39.2,38.7,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6585.0,0.005479452054794521,42.3,42.8,42.55,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6585.0,0.005479452054794521,14.9,15.7,15.3,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6585.0,0.005479452054794521,19.0,19.4,19.2,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6590.0,0.005479452054794521,34.7,35.7,35.2,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6590.0,0.005479452054794521,39.0,39.5,39.25,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6590.0,0.005479452054794521,16.5,17.2,16.85,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6590.0,0.005479452054794521,20.6,21.0,20.8,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6595.0,0.005479452054794521,31.4,32.4,31.9,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6595.0,0.005479452054794521,35.6,36.1,35.85,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6595.0,0.005479452054794521,18.1,18.9,18.5,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6595.0,0.005479452054794521,22.3,22.8,22.55,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6600.0,0.005479452054794521,28.3,29.2,28.75,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6600.0,0.005479452054794521,32.5,33.0,32.75,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6600.0,0.005479452054794521,20.0,20.8,20.4,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6600.0,0.005479452054794521,24.2,24.6,24.4,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6605.0,0.005479452054794521,25.3,26.2,25.75,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6605.0,0.005479452054794521,29.6,30.0,29.8,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6605.0,0.005479452054794521,22.0,22.8,22.4,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6605.0,0.005479452054794521,26.2,26.7,26.45,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6610.0,0.005479452054794521,22.5,23.4,22.95,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,C,6610.0,0.005479452054794521,26.8,27.2,27.0,6600.35,2025-09-19,SPX
20250917,2025-09-17 15:59:59,P,6610.0,0.005479452054794521,24.2,25.1,24.65,6600.35,2025-09-19,SPX
