asof,timestamp,cp,K,T,bid,ask,mid,S,expiry,symbol
20250922,2025-09-22 15:59:59,C,6620.0,0.005479452054794521,77.0,77.9,77.45,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,P,6620.0,0.005479452054794521,3.9,4.2,4.05,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,C,6625.0,0.005479452054794521,72.4,73.4,72.9,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,P,6625.0,0.005479452054794521,4.3,4.6,4.449999999999999,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,C,6630.0,0.005479452054794521,67.7,68.8,68.25,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,P,6630.0,0.005479452054794521,4.7,5.0,4.85,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,C,6635.0,0.005479452054794521,59.8,64.6,62.199999999999996,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,P,6635.0,0.005479452054794521,5.1,5.4,5.25,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,C,6640.0,0.005479452054794521,58.4,60.1,59.25,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,P,6640.0,0.005479452054794521,5.6,6.0,5.8,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,C,6645.0,0.005479452054794521,53.9,55.6,54.75,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,P,6645.0,0.005479452054794521,6.2,6.5,6.35,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,C,6650.0,0.005479452054794521,49.6,51.3,50.45,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,P,6650.0,0.005479452054794521,6.9,7.2,7.050000000000001,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,C,6655.0,0.005479452054794521,45.3,47.0,46.15,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,P,6655.0,0.005479452054794521,7.6,8.0,7.8,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,C,6660.0,0.005479452054794521,41.2,42.8,42.0,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,P,6660.0,0.005479452054794521,8.4,8.8,8.600000000000001,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,C,6665.0,0.005479452054794521,37.1,38.8,37.95,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,P,6665.0,0.005479452054794521,9.4,9.8,9.600000000000001,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,C,6670.0,0.005479452054794521,33.8,34.3,34.05,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,P,6670.0,0.005479452054794521,10.5,10.9,10.7,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,C,6675.0,0.005479452054794521,30.1,30.5,30.3,6693.75,2025-09-24,SPX
20250922,2025-09-22 15:59:59,P,6675.0,0.005479452054794521,11.8,12.1,11.95,6693.75,2025-09-24,SPX
