asof,timestamp,cp,K,T,bid,ask,mid,S,expiry,symbol
20250919,2025-09-19 15:59:59,C,6590.0,0.00821917808219178,72.6,73.7,73.15,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6590.0,0.00821917808219178,2.05,2.25,2.15,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6595.0,0.00821917808219178,67.8,73.0,70.4,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6595.0,0.00821917808219178,2.25,2.45,2.35,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6600.0,0.00821917808219178,63.1,64.2,63.650000000000006,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6600.0,0.00821917808219178,2.5,2.7,2.6,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6605.0,0.00821917808219178,58.3,59.4,58.849999999999994,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6605.0,0.00821917808219178,2.75,2.95,2.85,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6610.0,0.00821917808219178,53.6,54.7,54.150000000000006,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6610.0,0.00821917808219178,3.1,3.3,3.2,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6615.0,0.00821917808219178,49.0,50.1,49.55,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6615.0,0.00821917808219178,3.4,3.6,3.5,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6620.0,0.00821917808219178,44.4,45.5,44.95,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6620.0,0.00821917808219178,3.8,4.0,3.9,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6625.0,0.00821917808219178,39.9,41.0,40.45,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6625.0,0.00821917808219178,4.2,4.5,4.35,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6630.0,0.00821917808219178,35.5,36.6,36.05,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6630.0,0.00821917808219178,4.8,5.1,4.949999999999999,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6635.0,0.00821917808219178,31.2,32.3,31.75,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6635.0,0.00821917808219178,5.5,5.8,5.65,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6640.0,0.00821917808219178,27.1,28.1,27.6,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6640.0,0.00821917808219178,6.3,6.7,6.5,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6645.0,0.00821917808219178,23.3,23.8,23.55,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6645.0,0.00821917808219178,7.4,7.7,7.550000000000001,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6650.0,0.00821917808219178,19.6,20.1,19.85,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6650.0,0.00821917808219178,8.8,9.0,8.9,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6655.0,0.00821917808219178,16.2,16.6,16.4,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6655.0,0.00821917808219178,10.2,10.6,10.399999999999999,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6660.0,0.00821917808219178,13.1,13.5,13.3,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6660.0,0.00821917808219178,12.1,12.5,12.3,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6665.0,0.00821917808219178,10.3,10.7,10.5,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6665.0,0.00821917808219178,14.3,14.7,14.5,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6670.0,0.00821917808219178,8.0,8.4,8.2,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6670.0,0.00821917808219178,17.0,17.4,17.2,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6675.0,0.00821917808219178,6.1,6.4,6.25,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6675.0,0.00821917808219178,20.0,20.5,20.25,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6680.0,0.00821917808219178,4.5,4.8,4.65,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6680.0,0.00821917808219178,23.1,24.2,23.65,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6685.0,0.00821917808219178,3.3,3.5,3.4,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6685.0,0.00821917808219178,23.5,27.9,25.7,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6690.0,0.00821917808219178,2.35,2.55,2.45,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6690.0,0.00821917808219178,30.9,32.0,31.45,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6695.0,0.00821917808219178,1.65,1.85,1.75,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6695.0,0.00821917808219178,35.2,36.3,35.75,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6700.0,0.00821917808219178,1.15,1.3,1.225,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6700.0,0.00821917808219178,39.7,40.8,40.25,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6705.0,0.00821917808219178,0.8,0.9,0.8500000000000001,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6705.0,0.00821917808219178,44.3,45.4,44.849999999999994,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6710.0,0.00821917808219178,0.55,0.7,0.625,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6710.0,0.00821917808219178,49.1,50.2,49.650000000000006,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6715.0,0.00821917808219178,0.4,0.5,0.45,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6715.0,0.00821917808219178,53.9,55.0,54.45,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6720.0,0.00821917808219178,0.25,0.4,0.325,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6720.0,0.00821917808219178,54.4,63.9,59.15,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,C,6725.0,0.00821917808219178,0.15,0.3,0.22499999999999998,6664.360000000001,2025-09-22,SPX
20250919,2025-09-19 15:59:59,P,6725.0,0.00821917808219178,59.8,68.1,63.949999999999996,6664.360000000001,2025-09-22,SPX
