T,F,q
0.005479452054794521,6643.5,-0.15197490312757958
0.0136986301369863,6644.1,-0.06738257391694934
0.01643835616438356,6643.9,-0.05432091876167158
0.019178082191780823,6646.15,-0.06421631622393718
0.021917808219178082,6646.9,-0.061337643705216924
0.024657534246575342,6648.75,-0.06580841393781191
0.03287671232876712,6649.15,-0.05118617331446275
0.03561643835616438,6649.85,-0.050204463189135795
0.038356164383561646,6650.85,-0.05053873935417262
0.0410958904109589,6651.35,-0.048998761413356275
0.043835616438356165,6653.9,-0.05468053765063073
0.052054794520547946,6654.0,-0.046335477154309614
