T,K,C,P,F
0.005479452054794521,6695.0,17.3,18.9,6693.4
0.00821917808219178,6695.0,23.6,24.6,6694.0
0.010958904109589041,6695.0,30.65,29.7,6695.95
0.019178082191780823,6695.0,36.599999999999994,35.0,6696.6
0.021917808219178082,6695.0,42.05,40.6,6696.45
0.024657534246575342,6700.0,44.599999999999994,46.05,6698.55
0.0273972602739726,6700.0,48.900000000000006,49.55,6699.35
0.030136986301369864,6700.0,56.2,54.8,6701.4
0.038356164383561646,6700.0,60.35,58.65,6701.7
0.0410958904109589,6700.0,64.0,61.6,6702.4
0.043835616438356165,6705.0,64.8,66.6,6703.2
0.04657534246575343,6705.0,68.3,69.45,6703.85
