T,F,q
0.00821917808219178,6583.9,0.007206761143921531
0.010958904109589041,6584.5,-0.0029102901635783903
0.0136986301369863,6585.3,-0.011197007673675513
0.01643835616438356,6586.0,-0.015796918759498596
0.019178082191780823,6590.4,-0.048364383523852854
0.0273972602739726,6588.55,-0.023607666292239794
0.030136986301369864,6589.25,-0.02498672732749426
0.03287671232876712,6589.7,-0.024981676153811527
0.03561643835616438,6590.5,-0.0264683847287665
0.038356164383561646,6592.45,-0.032290670429624614
0.04657534246575343,6593.2,-0.029034811687195787
0.049315068493150684,6593.3,-0.027729320194162535
