T,F,q
0.005479452054794521,6604.3,-0.10918502519974495
0.0136986301369863,6608.4,-0.08897890758103369
0.01643835616438356,6609.05,-0.0801323415941021
0.019178082191780823,6609.8,-0.07460173942810698
0.021917808219178082,6610.4,-0.06941791169396336
0.024657534246575342,6612.3,-0.07335985151118664
0.03287671232876712,6613.0,-0.0582397273798137
0.03561643835616438,6612.9,-0.05333517349251394
0.038356164383561646,6614.7,-0.056621071740015974
0.0410958904109589,6615.7,-0.056524730857608646
0.043835616438356165,6617.65,-0.059715006105411514
0.052054794520547946,6618.0,-0.05130231700391865
