T,K,C,P,F
0.005479452054794521,6675.0,21.75,21.65,6675.1
0.00821917808219178,6675.0,29.55,27.35,6677.2
0.01643835616438356,6675.0,35.0,32.55,6677.45
0.019178082191780823,6680.0,36.85,38.5,6678.35
0.021917808219178082,6680.0,41.65,42.5,6679.15
0.024657534246575342,6680.0,46.15,46.4,6679.75
0.0273972602739726,6680.0,51.95,49.7,6682.25
0.03561643835616438,6680.0,56.8,53.95,6682.85
0.038356164383561646,6685.0,56.75,58.95,6682.8
0.0410958904109589,6685.0,61.9,63.7,6683.2
0.043835616438356165,6685.0,66.0,66.95,6684.05
0.04657534246575343,6685.0,69.5,69.05,6685.45
