T,K,C,P,F
0.005479452054794521,6435.0,24.450000000000003,22.55,6436.9
0.00821917808219178,6440.0,34.85,36.15,6438.7
0.01643835616438356,6440.0,39.85,40.599999999999994,6439.25
0.019178082191780823,6440.0,44.599999999999994,44.7,6439.9
0.021917808219178082,6440.0,48.4,47.95,6440.45
0.024657534246575342,6440.0,54.400000000000006,53.25,6441.15
0.0273972602739726,6445.0,55.7,57.25,6443.45
0.03561643835616438,6445.0,58.7,60.7,6443.0
0.038356164383561646,6445.0,61.400000000000006,63.2,6443.2
0.0410958904109589,6445.0,66.95,67.7,6444.25
0.043835616438356165,6445.0,70.2,70.35,6444.85
0.04657534246575343,6445.0,73.45,72.4,6446.05
