T,K,C,P,F
0.005479452054794521,6610.0,31.4,30.95,6610.45
0.00821917808219178,6610.0,36.3,36.45,6609.85
0.01643835616438356,6615.0,41.05,43.15,6612.9
0.019178082191780823,6615.0,44.8,46.2,6613.6
0.021917808219178082,6615.0,48.45,49.150000000000006,6614.3
0.024657534246575342,6615.0,51.95,51.9,6615.05
0.0273972602739726,6615.0,56.349999999999994,54.6,6616.75
0.03561643835616438,6615.0,60.349999999999994,57.9,6617.45
0.038356164383561646,6620.0,61.0,63.45,6617.55
0.0410958904109589,6620.0,64.65,65.65,6619.0
0.043835616438356165,6620.0,67.75,67.8,6619.95
0.04657534246575343,6620.0,73.25,71.5,6621.75
