T,K,C,P,F
0.005479452054794521,6500.0,18.15,18.4,6499.75
0.00821917808219178,6500.0,27.5,27.049999999999997,6500.45
0.010958904109589041,6505.0,29.95,32.05,6502.9
0.019178082191780823,6500.0,36.45,34.05,6502.4
0.021917808219178082,6505.0,36.9,38.95,6502.95
0.024657534246575342,6505.0,43.9,45.25,6503.65
0.0273972602739726,6505.0,47.650000000000006,48.25,6504.4
0.030136986301369864,6505.0,50.95,50.55,6505.4
0.038356164383561646,6505.0,55.849999999999994,53.55,6507.3
0.0410958904109589,6510.0,55.7,57.7,6508.0
0.043835616438356165,6510.0,58.7,59.849999999999994,6508.85
0.04657534246575343,6510.0,61.6,62.150000000000006,6509.45
