T,F,q
0.005479452054794521,6499.75,-0.12920453948311728
0.00821917808219178,6500.45,-0.09923872219583114
0.010958904109589041,6502.9,-0.10881441197764723
0.019178082191780823,6502.4,-0.05817030955722469
0.021917808219178082,6502.95,-0.054758009665638124
0.024657534246575342,6503.65,-0.05303909150935435
0.0273972602739726,6504.4,-0.05194411452431827
0.030136986301369864,6505.4,-0.05232297200308395
0.038356164383561646,6507.3,-0.048724348002260706
0.0410958904109589,6508.0,-0.04809349044199918
0.043835616438356165,6508.85,-0.0480669587245657
0.04657534246575343,6509.45,-0.047218605033968825
