T,K,C,P,F
0.005479452054794521,6645.0,20.8,22.3,6643.5
0.0136986301369863,6645.0,28.05,28.95,6644.1
0.01643835616438356,6645.0,34.15,35.25,6643.9
0.019178082191780823,6645.0,40.05,38.900000000000006,6646.15
0.021917808219178082,6645.0,44.45,42.55,6646.9
0.024657534246575342,6650.0,48.15,49.400000000000006,6648.75
0.03287671232876712,6650.0,52.75,53.6,6649.15
0.03561643835616438,6650.0,56.75,56.900000000000006,6649.85
0.038356164383561646,6650.0,60.95,60.099999999999994,6650.85
0.0410958904109589,6650.0,64.8,63.45,6651.35
0.043835616438356165,6655.0,66.95,68.05000000000001,6653.9
0.052054794520547946,6655.0,70.9,71.9,6654.0
