cp,K,T,mid,price_pde,delta_pde,price_err,rq,F_T
C,6615.0,0.0054794520547945,67.55,68.07019793066263,0.8539020936381357,0.5201979306626328,-0.3006642203144561,6677.45
P,6615.0,0.0054794520547945,8.15,5.517228309033886,-0.1460979063618554,-2.6327716909661145,-0.3006642203144561,6677.45
C,6620.0,0.0054794520547945,63.6,63.922803801051685,0.8519703139204579,0.32280380105168405,-0.3006642203144561,6677.45
P,6620.0,0.0054794520547945,8.75,6.378078344486316,-0.14802968607950903,-2.3719216555136837,-0.3006642203144561,6677.45
C,6625.0,0.0054794520547945,58.65,59.71638694930633,0.8520424863987776,1.0663869493063345,-0.3006642203144561,6677.45
P,6625.0,0.0054794520547945,9.35,7.179905657803627,-0.1479575136012895,-2.1700943421963723,-0.3006642203144561,6677.45
C,6630.0,0.0054794520547945,54.849999999999994,55.637937695321064,0.7562650462027475,0.7879376953210695,-0.3006642203144561,6677.45
P,6630.0,0.0054794520547945,10.05,8.109700568880292,-0.24373495379726515,-1.9402994311197084,-0.3006642203144561,6677.45
C,6635.0,0.0054794520547945,51.0,51.98380843022359,0.751185038408437,0.9838084302235899,-0.3006642203144561,6677.45
P,6635.0,0.0054794520547945,10.85,9.463815468844677,-0.24881496159161665,-1.3861845311553225,-0.3006642203144561,6677.45
C,6640.0,0.0054794520547945,46.45,48.40007008658689,0.7461692149380003,1.9500700865868836,-0.3006642203144561,6677.45
P,6640.0,0.0054794520547945,11.75,10.888321290274344,-0.25383078506195506,-0.8616787097256555,-0.3006642203144561,6677.45
C,6645.0,0.0054794520547945,42.5,44.67159638870554,0.7452281489869509,2.171596388705538,-0.3006642203144561,6677.45
P,6645.0,0.0054794520547945,12.7,12.168091757454409,-0.2547718510130504,-0.5319082425455903,-0.3006642203144561,6677.45
C,6650.0,0.0054794520547945,38.4,40.930156884809904,0.7454591304152979,2.530156884809905,-0.3006642203144561,6677.45
P,6650.0,0.0054794520547945,13.8,13.434896418621214,-0.25454086958475075,-0.3651035813787864,-0.3006642203144561,6677.45
C,6655.0,0.0054794520547945,34.9,37.58785568756463,0.6166603763306032,2.6878556875646282,-0.3006642203144561,6677.45
