T,F,q
0.005479452054794521,6533.1,-0.02961315384672713
0.0136986301369863,6532.45,-0.004581885708490578
0.01643835616438356,6533.2,-0.010802199860407175
0.019178082191780823,6533.85,-0.014446558486606467
0.021917808219178082,6534.65,-0.01822668963351426
0.024657534246575342,6535.35,-0.020545631799453526
0.03287671232876712,6536.8,-0.02215702996373846
0.03561643835616438,6537.7,-0.02431806517188751
0.038356164383561646,6538.6,-0.026169886981632737
0.0410958904109589,6539.15,-0.026471961170045633
0.043835616438356165,6541.1,-0.031619225846040364
0.052054794520547946,6541.8,-0.028682433267153584
