T,F,q
0.005479452054794521,6657.5,0.10167276222878714
0.00821917808219178,6658.35,0.052248973992282295
0.010958904109589041,6660.5,0.00972660417639733
0.019178082191780823,6660.9,0.002426685520117901
0.021917808219178082,6661.6,-0.0026711707222610995
0.024657534246575342,6662.45,-0.0075488100167821984
0.0273972602739726,6663.0,-0.00980696047166004
0.030136986301369864,6665.5,-0.021363112863870968
0.038356164383561646,6665.6,-0.017176439908490805
0.0410958904109589,6666.3,-0.01858661860896727
0.043835616438356165,6666.8,-0.019135922388640838
0.04657534246575343,6667.6,-0.020586544385355645
