T,K,C,P,F
0.005479452054794521,6710.0,19.9,20.1,6709.8
0.0136986301369863,6710.0,26.55,26.45,6710.1
0.01643835616438356,6710.0,31.7,30.85,6710.85
0.019178082191780823,6710.0,37.05,35.35,6711.7
0.021917808219178082,6715.0,39.15,41.95,6712.2
0.024657534246575342,6715.0,45.45,45.400000000000006,6715.05
0.03287671232876712,6715.0,49.7,50.2,6714.5
0.03561643835616438,6715.0,54.0,53.5,6715.5
0.038356164383561646,6715.0,58.85,58.0,6715.85
0.0410958904109589,6715.0,63.099999999999994,61.25,6716.85
0.043835616438356165,6720.0,64.9,64.45,6720.45
0.052054794520547946,6720.0,68.94999999999999,69.1,6719.85
