T,K,C,P,F
0.010958904109589041,6720.0,21.25,23.4,6717.85
0.0136986301369863,6720.0,27.25,28.85,6718.4
0.01643835616438356,6720.0,33.0,33.8,6719.2
0.019178082191780823,6720.0,38.25,38.400000000000006,6719.85
0.021917808219178082,6720.0,44.599999999999994,42.3,6722.3
0.030136986301369864,6720.0,49.45,47.099999999999994,6722.35
0.03287671232876712,6725.0,50.8,52.7,6723.1
0.03561643835616438,6725.0,55.400000000000006,56.8,6723.6
0.038356164383561646,6725.0,59.8,60.55,6724.25
0.0410958904109589,6725.0,63.55,63.35,6725.2
0.049315068493150684,6730.0,66.6,68.9,6727.7
0.052054794520547946,6730.0,70.0,71.65,6728.35
