T,K,C,P,F
0.005479452054794521,6655.0,22.75,20.25,6657.5
0.00821917808219178,6660.0,25.3,26.95,6658.35
0.010958904109589041,6660.0,33.05,32.55,6660.5
0.019178082191780823,6660.0,38.05,37.15,6660.9
0.021917808219178082,6660.0,42.099999999999994,40.5,6661.6
0.024657534246575342,6660.0,46.5,44.05,6662.45
0.0273972602739726,6665.0,47.55,49.55,6663.0
0.030136986301369864,6665.0,52.85,52.35,6665.5
0.038356164383561646,6665.0,57.1,56.5,6665.6
0.0410958904109589,6665.0,60.75,59.45,6666.3
0.043835616438356165,6665.0,65.94999999999999,64.15,6666.8
0.04657534246575343,6670.0,66.94999999999999,69.35,6667.6
