T,K,C,P,F
0.010958904109589041,6610.0,26.55,26.75,6609.8
0.0136986301369863,6610.0,33.8,34.25,6609.55
0.01643835616438356,6610.0,40.05,38.55,6611.5
0.019178082191780823,6610.0,44.65,42.3,6612.35
0.021917808219178082,6615.0,47.85,48.65,6614.2
0.030136986301369864,6615.0,52.35,52.75,6614.6
0.03287671232876712,6615.0,56.349999999999994,56.0,6615.35
0.03561643835616438,6615.0,60.55,59.4,6616.15
0.038356164383561646,6615.0,64.4,62.7,6616.7
0.0410958904109589,6620.0,66.7,67.4,6619.3
0.049315068493150684,6620.0,70.65,71.45,6619.2
0.052054794520547946,6620.0,74.25,74.25,6620.0
