T,F,q
0.00821917808219178,6645.45,-0.03204368494560188
0.010958904109589041,6645.35,-0.022659633423570726
0.0136986301369863,6646.85,-0.03460353473796132
0.01643835616438356,6647.7,-0.036615155766813526
0.019178082191780823,6649.6,-0.04628540352560903
0.0273972602739726,6650.0,-0.03459533722211273
0.030136986301369864,6650.75,-0.03519240587014471
0.03287671232876712,6651.5,-0.03568957627110556
0.03561643835616438,6652.15,-0.03568783220964588
0.038356164383561646,6654.65,-0.042934981764894624
0.04657534246575343,6654.75,-0.03568085823564184
0.049315068493150684,6655.5,-0.0359837945994244
