T,K,C,P,F
0.00821917808219178,6660.0,13.3,12.3,6661.0
0.010958904109589041,6660.0,20.25,18.65,6661.6
0.0136986301369863,6660.0,26.15,23.85,6662.3
0.01643835616438356,6665.0,28.55,30.65,6662.9
0.019178082191780823,6665.0,34.55,34.75,6664.8
0.0273972602739726,6665.0,40.15,39.55,6665.6
0.030136986301369864,6665.0,44.95,44.55,6665.4
0.03287671232876712,6670.0,47.150000000000006,49.6,6667.55
0.03561643835616438,6670.0,51.150000000000006,52.75,6668.4
0.038356164383561646,6670.0,58.1,57.75,6670.35
0.04657534246575343,6670.0,61.95,61.25,6670.7
0.049315068493150684,6670.0,65.35,63.85,6671.5
