T,F,q
0.010958904109589041,6586.65,0.011359392520591274
0.0136986301369863,6587.45,0.0002216332243448293
0.01643835616438356,6588.2,-0.006740960175652123
0.019178082191780823,6589.1,-0.012900604265964823
0.021917808219178082,6589.9,-0.016827143998642394
0.030136986301369864,6591.55,-0.020545051529916442
0.03287671232876712,6592.45,-0.022985724831204035
0.03561643835616438,6592.95,-0.023346987019712957
0.038356164383561646,6593.6,-0.024249604723249128
0.0410958904109589,6595.5,-0.029643804215960187
0.049315068493150684,6596.2,-0.026855196750877348
0.052054794520547946,6596.15,-0.025296146660020013
