cp,K,T,m,mid,mid1,price0_pde,price1_pde,delta0_pde,price0_bsm,price1_bsm,delta0_bsm,pnl_pde,pnl_bsm,T_bucket,m_bucket
C,6625.0,0.01643835616438356,0.9921433733079841,72.0,118.35,72.42804947235817,105.53552379984875,0.6412281434533834,359.9027124178101,344.6404582984619,0.5490713210195115,31.768472017870195,33.864118160016424,1.0-2.0%,0.98-1.00
P,6625.0,0.01643835616438356,0.9921433733079841,18.299999999999997,27.8,19.879316107882854,20.421622677532753,-0.35877185654657234,-0.0,-0.0,-0.0,17.65847201786898,9.500000000000004,1.0-2.0%,0.98-1.00
C,6630.0,0.01643835616438356,0.9928921607595372,66.0,115.1,68.839638878085,100.40127679306015,0.6171803322334807,341.12005948151364,327.20316483458646,0.5466371853116542,35.06531924501078,36.6694704060131,1.0-2.0%,0.98-1.00
P,6630.0,0.01643835616438356,0.9928921607595372,19.299999999999997,28.75,21.29914043182655,20.288195368012357,-0.38281966776649956,-0.0,-0.0,-0.0,18.15531924501012,9.450000000000003,1.0-2.0%,0.98-1.00
C,6635.0,0.01643835616438356,0.9936409482110904,63.0,109.15,65.46609524812038,99.87602447857597,0.5910203387375357,321.4511782196796,308.9560802824881,0.5440706010781438,32.710197497108574,33.77783453148314,1.0-2.0%,0.98-1.00
P,6635.0,0.01643835616438356,0.9936409482110904,20.450000000000003,29.75,22.93383172007719,24.763762750794605,-0.40897966126241725,-0.0,-0.0,-0.0,18.600197497107274,9.299999999999997,1.0-2.0%,0.98-1.00
C,6640.0,0.01643835616438356,0.9943897356626437,60.0,79.8,61.98014977185387,97.00707293204863,0.5792438681360083,300.73426200106906,289.7514105087912,0.5413473916322677,6.6279944385872955,7.489760314282346,1.0-2.0%,0.98-1.00
P,6640.0,0.01643835616438356,0.9943897356626437,21.65,9.75,24.456121162025322,26.895630901535245,-0.4207561318639157,263.2719329186598,227.74855612418924,-0.45700833281955994,-2.332005561414647,-1.5076305116833062,1.0-2.0%,0.98-1.00
C,6645.0,0.01643835616438356,0.9951385231141968,54.0,75.4,58.53802507267263,92.05394213699338,0.5546016139543742,278.75121121739676,269.39001153619483,0.5384349761336003,8.788359298677657,9.155988642722054,1.0-2.0%,0.98-1.00
P,6645.0,0.01643835616438356,0.9951385231141968,22.9,10.35,26.02223138106062,26.94331980374396,-0.445398386045598,246.2888826068197,212.38715758181252,-0.4599207483182396,-2.421640701323197,-2.0914021832433303,1.0-2.0%,0.98-1.00
