T,K,C,P,F
0.00821917808219178,6645.0,15.25,14.8,6645.45
0.010958904109589041,6645.0,23.35,23.0,6645.35
0.0136986301369863,6645.0,29.65,27.8,6646.85
0.01643835616438356,6650.0,31.5,33.8,6647.7
0.019178082191780823,6650.0,38.099999999999994,38.5,6649.6
0.0273972602739726,6650.0,42.7,42.7,6650.0
0.030136986301369864,6650.0,46.6,45.849999999999994,6650.75
0.03287671232876712,6650.0,50.650000000000006,49.15,6651.5
0.03561643835616438,6650.0,54.6,52.45,6652.15
0.038356164383561646,6655.0,56.85,57.2,6654.65
0.04657534246575343,6655.0,60.900000000000006,61.15,6654.75
0.049315068493150684,6655.0,64.35,63.85,6655.5
