T,K,C,P,F
0.005479452054794521,6450.0,28.2,26.7,6451.5
0.0136986301369863,6450.0,33.599999999999994,31.5,6452.1
0.01643835616438356,6455.0,35.85,38.099999999999994,6452.75
0.019178082191780823,6455.0,40.0,41.599999999999994,6453.4
0.021917808219178082,6455.0,46.6,47.3,6454.3
0.024657534246575342,6455.0,51.2,49.55,6456.65
0.03287671232876712,6455.0,54.2,53.25,6455.95
0.03561643835616438,6455.0,57.45,56.0,6456.45
0.038356164383561646,6455.0,63.3,60.95,6457.35
0.0410958904109589,6460.0,63.65,65.75,6457.9
0.043835616438356165,6460.0,66.95,66.65,6460.3
0.052054794520547946,6460.0,71.6,70.85,6460.75
