T,F,q
0.00821917808219178,6480.25,0.023466481579232843
0.010958904109589041,6480.9,0.00844750972646136
0.0136986301369863,6481.55,-0.0005631390760761592
0.01643835616438356,6482.4,-0.008446532307091885
0.019178082191780823,6484.8,-0.02654133134150069
0.0273972602739726,6484.0,-0.014075816764625522
0.030136986301369864,6484.65,-0.016122400146385673
0.03287671232876712,6485.3,-0.017827580689483497
0.03561643835616438,6486.1,-0.01991946876386821
0.038356164383561646,6490.35,-0.03557429027564304
0.04657534246575343,6489.0,-0.02483010365240616
0.049315068493150684,6489.8,-0.02595045655036212
