cp,K,T,F,df,mid,iv_parity
C,6710.0,0.0191780821917808,6678.35,1.0,21.55,0.09498875365109996
P,6710.0,0.0191780821917808,6678.35,1.0,54.0,0.09729273195635958
C,6715.0,0.0191780821917808,6678.35,1.0,18.4,0.09079710173867543
P,6715.0,0.0191780821917808,6678.35,1.0,57.0,0.09655884663884438
C,6720.0,0.0191780821917808,6678.35,1.0,17.5,0.09291010198882235
P,6720.0,0.0191780821917808,6678.35,1.0,60.0,0.09548304412205519
C,6725.0,0.0191780821917808,6678.35,1.0,15.7,0.09200309564115042
P,6725.0,0.0191780821917808,6678.35,1.0,63.0,0.0940347236733834
C,6730.0,0.0191780821917808,6678.35,1.0,14.0,0.09103443650206848
P,6730.0,0.0191780821917808,6678.35,1.0,66.0,0.09217079779727284
C,6735.0,0.0191780821917808,6678.35,1.0,12.4,0.08999955043555367
P,6735.0,0.0191780821917808,6678.35,1.0,69.0,0.0898296914352244
C,6740.0,0.0191780821917808,6678.35,1.0,11.0,0.08924955125118872
P,6740.0,0.0191780821917808,6678.35,1.0,72.0,0.08692048897379279
C,6745.0,0.0191780821917808,6678.35,1.0,9.65,0.08827467703090369
P,6745.0,0.0191780821917808,6678.35,1.0,75.0,0.0833015470349911
C,6750.0,0.0191780821917808,6678.35,1.0,7.699999999999999,0.08442091097469814
P,6750.0,0.0191780821917808,6678.35,1.0,78.75,0.0819362835718814
C,6755.0,0.0191780821917808,6678.35,1.0,7.4,0.08679846680988358
P,6755.0,0.0191780821917808,6678.35,1.0,84.0,0.08658676572587955
C,6760.0,0.0191780821917808,6678.35,1.0,6.449999999999999,0.08616872926256111
P,6760.0,0.0191780821917808,6678.35,1.0,86.25,0.07729053515860528
C,6615.0,0.021917808219178,6679.15,1.0,87.0,0.12302936886847385
P,6615.0,0.021917808219178,6679.15,1.0,23.25,0.12420030671343023
C,6620.0,0.021917808219178,6679.15,1.0,84.0,0.12433956543227012
P,6620.0,0.021917808219178,6679.15,1.0,24.25,0.12261972184807379
C,6625.0,0.021917808219178,6679.15,1.0,78.0,0.11692439480820775
P,6625.0,0.021917808219178,6679.15,1.0,25.45,0.12145445286303871
C,6630.0,0.021917808219178,6679.15,1.0,75.0,0.11789839894331143
P,6630.0,0.021917808219178,6679.15,1.0,26.6,0.1199822127839141
C,6635.0,0.021917808219178,6679.15,1.0,72.0,0.1186193565778793
P,6635.0,0.021917808219178,6679.15,1.0,27.85,0.11861935657787856
C,6640.0,0.021917808219178,6679.15,1.0,69.0,0.1191013043065641
P,6640.0,0.021917808219178,6679.15,1.0,29.2,0.11735277026536126
C,6645.0,0.021917808219178,6679.15,1.0,63.0,0.11137865883513864
P,6645.0,0.021917808219178,6679.15,1.0,30.45,0.11563886555216508
C,6650.0,0.021917808219178,6679.15,1.0,60.0,0.11151262167802234
P,6650.0,0.021917808219178,6679.15,1.0,31.950000000000003,0.11440452989056878
C,6655.0,0.021917808219178,6679.15,1.0,57.55,0.11284509553468228
P,6655.0,0.021917808219178,6679.15,1.0,33.45,0.11297509409422073
C,6660.0,0.021917808219178,6679.15,1.0,54.15,0.11147631813616946
P,6660.0,0.021917808219178,6679.15,1.0,35.099999999999994,0.11173404866689025
C,6665.0,0.021917808219178,6679.15,1.0,43.6,0.09156990329942401
P,6665.0,0.021917808219178,6679.15,1.0,36.9,0.11066826313217766
C,6670.0,0.021917808219178,6679.15,1.0,40.5,0.0906588781070931
P,6670.0,0.021917808219178,6679.15,1.0,38.7,0.10938486040275237
C,6675.0,0.021917808219178,6679.15,1.0,44.65,0.10787870014746581
P,6675.0,0.021917808219178,6679.15,1.0,40.65,0.10825936080814735
C,6680.0,0.021917808219178,6679.15,1.0,41.65,0.10664579168240018
P,6680.0,0.021917808219178,6679.15,1.0,42.5,0.10664579168239927
C,6685.0,0.021917808219178,6679.15,1.0,38.75,0.10543326683254141
P,6685.0,0.021917808219178,6679.15,1.0,45.0,0.10644841634302878
C,6690.0,0.021917808219178,6679.15,1.0,36.0,0.10435089758194656
P,6690.0,0.021917808219178,6679.15,1.0,46.8,0.10422354708668842
