T,K,C,P,F
0.005479452054794521,6615.0,23.0,24.75,6613.25
0.00821917808219178,6615.0,30.2,31.15,6614.05
0.010958904109589041,6620.0,34.55,35.2,6619.35
0.019178082191780823,6615.0,41.85,40.15,6616.7
0.021917808219178082,6615.0,45.5,43.1,6617.4
0.024657534246575342,6620.0,46.150000000000006,47.95,6618.2
0.0273972602739726,6620.0,49.55,50.8,6618.75
0.030136986301369864,6620.0,53.7,53.099999999999994,6620.6
0.038356164383561646,6620.0,57.65,56.4,6621.25
0.0410958904109589,6620.0,61.0,59.7,6621.3
0.043835616438356165,6625.0,62.05,63.85,6623.2
0.04657534246575343,6625.0,64.94999999999999,66.1,6623.85
