K,T,C,P,F,moneyness
6690.0,0.00821917808219178,21.25,34.1,6677.15,1.0019244737650046
6695.0,0.00821917808219178,18.8,35.9,6677.9,1.0025606852453617
6700.0,0.00821917808219178,16.55,40.4,6676.15,1.0035724182350607
6705.0,0.00821917808219178,14.5,43.05,6676.45,1.0042762246403403
6710.0,0.00821917808219178,12.6,46.25,6676.35,1.0050401791397994
6715.0,0.00821917808219178,10.9,49.400000000000006,6676.5,1.0057664944207294
6720.0,0.00821917808219178,9.4,52.7,6676.7,1.00648523971423
6725.0,0.00821917808219178,8.0,56.3,6676.7,1.007234112660446
6730.0,0.00821917808219178,6.75,59.95,6676.8,1.0079678888090102
6735.0,0.00821917808219178,5.7,64.1,6676.6,1.0087469670191413
6740.0,0.00821917808219178,4.75,67.5,6677.25,1.0093975813396234
6745.0,0.00821917808219178,4.0,72.65,6676.35,1.010282564574955
6750.0,0.00821917808219178,3.3,76.15,6677.15,1.01091034348487
6755.0,0.00821917808219178,2.7,81.05000000000001,6676.65,1.0117349269468972
6760.0,0.00821917808219178,2.2,85.1,6677.1,1.0124155696335235
6615.0,0.01643835616438356,79.5,16.5,6678.0,0.9905660377358491
6620.0,0.01643835616438356,75.0,17.4,6677.6,0.9913741463999041
6625.0,0.01643835616438356,72.0,18.299999999999997,6678.7,0.9919595130788926
6630.0,0.01643835616438356,66.0,19.299999999999997,6676.7,0.9930055266823431
6635.0,0.01643835616438356,63.0,20.450000000000003,6677.55,0.9936279024492516
6640.0,0.01643835616438356,60.0,21.65,6678.35,0.9942575636197564
6645.0,0.01643835616438356,54.0,22.9,6676.1,0.9953415916478183
6650.0,0.01643835616438356,51.0,24.25,6676.75,0.9959935597408919
6655.0,0.01643835616438356,48.0,25.7,6677.3,0.9966603267787878
6660.0,0.01643835616438356,44.65,27.25,6677.4,0.9973941953454938
6665.0,0.01643835616438356,41.349999999999994,28.950000000000003,6677.4,0.9981429897864439
6670.0,0.01643835616438356,38.2,30.65,6677.55,0.9988693457929929
6675.0,0.01643835616438356,35.0,32.55,6677.45,0.9996330934713101
6680.0,0.01643835616438356,32.05,34.65,6677.4,1.000389373109294
6685.0,0.01643835616438356,29.25,36.85,6677.4,1.0011381675502442
6690.0,0.01643835616438356,26.55,39.05,6677.5,1.0018719580681392
6695.0,0.01643835616438356,24.05,42.0,6677.05,1.0026883129525763
6700.0,0.01643835616438356,21.65,45.0,6676.65,1.0034972628488839
6705.0,0.01643835616438356,19.5,48.0,6676.5,1.0042687036620983
6710.0,0.01643835616438356,17.35,51.0,6676.35,1.0050401791397994
6715.0,0.01643835616438356,15.45,54.0,6676.45,1.0057740266159412
6720.0,0.01643835616438356,13.65,57.0,6676.65,1.0064927770663432
6725.0,0.01643835616438356,12.05,60.3,6676.75,1.0072265698131575
6730.0,0.01643835616438356,10.5,63.0,6677.5,1.007862223886185
6735.0,0.01643835616438356,9.2,66.0,6678.2,1.0085052858554702
6740.0,0.01643835616438356,8.0,72.0,6676.0,1.0095865787896945
6745.0,0.01643835616438356,6.949999999999999,75.0,6676.95,1.0101917791806139
6750.0,0.01643835616438356,5.95,78.0,6677.95,1.0107892392126328
6755.0,0.01643835616438356,5.05,84.0,6676.05,1.011825855108934
6760.0,0.01643835616438356,4.35,87.0,6677.35,1.0123776647921705
6615.0,0.019178082191780823,84.0,19.65,6679.35,0.9903658290103078
6620.0,0.019178082191780823,78.0,20.7,6677.3,0.9914186871939257
6625.0,0.019178082191780823,75.0,21.8,6678.2,0.9920337815579049
6630.0,0.019178082191780823,69.95,22.9,6677.05,0.9929534749627454
6635.0,0.019178082191780823,66.0,24.1,6676.9,0.9937246326888227
6640.0,0.019178082191780823,63.0,25.25,6677.75,0.9943468982816068
6645.0,0.019178082191780823,60.75,26.55,6679.2,0.9948796263025512
6650.0,0.019178082191780823,57.0,28.049999999999997,6678.95,0.9956654863414159
6655.0,0.019178082191780823,46.05,29.549999999999997,6671.5,0.9975267930750206
6660.0,0.019178082191780823,49.35,31.15,6678.2,0.9972747147434938
6665.0,0.019178082191780823,46.05,32.75,6678.3,0.9980084752107572
6670.0,0.019178082191780823,42.95,34.55,6678.4,0.9987422137038813
6675.0,0.019178082191780823,39.85,36.55,6678.3,0.9995058622703382
6680.0,0.019178082191780823,36.85,38.5,6678.35,1.000247067015056
6685.0,0.019178082191780823,34.0,40.65,6678.35,1.0009957549394686
6690.0,0.019178082191780823,31.25,43.0,6678.25,1.0017594429678434
6695.0,0.019178082191780823,28.65,45.3,6678.35,1.0024931307882934
6700.0,0.019178082191780823,26.15,48.0,6678.15,1.0032718642138916
6705.0,0.019178082191780823,23.75,51.0,6677.75,1.0040807158099658
6710.0,0.019178082191780823,21.55,54.0,6677.55,1.0048595667572688
6715.0,0.019178082191780823,18.4,57.0,6676.4,1.0057815589239711
6720.0,0.019178082191780823,17.5,60.0,6677.5,1.0063646574316736
6725.0,0.019178082191780823,15.7,63.0,6677.7,1.0070832771762732
6730.0,0.019178082191780823,14.0,66.0,6678.0,1.0077867625037435
