T,K,C,P,F
0.005479452054794521,6525.0,21.85,23.0,6523.85
0.00821917808219178,6525.0,27.55,26.2,6526.35
0.01643835616438356,6525.0,31.35,30.7,6525.65
0.019178082191780823,6525.0,34.900000000000006,33.6,6526.3
0.021917808219178082,6525.0,42.8,40.85,6526.95
0.024657534246575342,6530.0,43.95,46.2,6527.75
0.0273972602739726,6530.0,47.4,47.1,6530.3
0.03561643835616438,6530.0,52.400000000000006,51.8,6530.6
0.038356164383561646,6530.0,55.099999999999994,53.85,6531.25
0.0410958904109589,6530.0,57.95,55.95,6532.0
0.043835616438356165,6535.0,57.8,60.099999999999994,6532.7
0.04657534246575343,6535.0,61.599999999999994,61.900000000000006,6534.7
