T,K,C,P,F
0.010958904109589041,6585.0,18.95,17.3,6586.65
0.0136986301369863,6585.0,24.15,21.7,6587.45
0.01643835616438356,6590.0,31.7,33.5,6588.2
0.019178082191780823,6590.0,36.400000000000006,37.3,6589.1
0.021917808219178082,6590.0,40.3,40.400000000000006,6589.9
0.030136986301369864,6590.0,45.65,44.1,6591.55
0.03287671232876712,6590.0,48.95,46.5,6592.45
0.03561643835616438,6595.0,49.15,51.2,6592.95
0.038356164383561646,6595.0,52.3,53.7,6593.6
0.0410958904109589,6595.0,56.55,56.05,6595.5
0.049315068493150684,6595.0,60.3,59.099999999999994,6596.2
0.052054794520547946,6595.0,63.5,62.35,6596.15
