T,F,q
0.010958904109589041,6504.0,-0.02694124613607404
0.0136986301369863,6504.75,-0.02997040827591401
0.01643835616438356,6505.45,-0.03152148608079573
0.019178082191780823,6506.3,-0.033830940495574655
0.021917808219178082,6508.8,-0.04712979095390506
0.030136986301369864,6508.15,-0.030962350546893037
0.03287671232876712,6508.75,-0.03118620171650455
0.03561643835616438,6509.5,-0.032022366509474764
0.038356164383561646,6510.15,-0.03233826262621838
0.0410958904109589,6513.8,-0.043821354183068
0.049315068493150684,6513.2,-0.034649879795947046
0.052054794520547946,6513.95,-0.03503818147045168
