T,K,C,P,F
0.005479452054794521,6605.0,25.75,26.45,6604.3
0.0136986301369863,6610.0,33.35,34.95,6608.4
0.01643835616438356,6610.0,38.2,39.15,6609.05
0.019178082191780823,6610.0,42.400000000000006,42.599999999999994,6609.8
0.021917808219178082,6610.0,46.45,46.05,6610.4
0.024657534246575342,6610.0,51.2,48.9,6612.3
0.03287671232876712,6615.0,52.349999999999994,54.349999999999994,6613.0
0.03561643835616438,6615.0,55.95,58.05,6612.9
0.038356164383561646,6615.0,59.8,60.1,6614.7
0.0410958904109589,6615.0,62.95,62.25,6615.7
0.043835616438356165,6620.0,65.85,68.2,6617.65
0.052054794520547946,6620.0,68.75,70.75,6618.0
