T,K,C,P,F
0.010958904109589041,6505.0,23.25,24.25,6504.0
0.0136986301369863,6505.0,29.05,29.3,6504.75
0.01643835616438356,6505.0,33.5,33.05,6505.45
0.019178082191780823,6505.0,40.1,38.8,6506.3
0.021917808219178082,6510.0,41.65,42.85,6508.8
0.030136986301369864,6510.0,44.55,46.4,6508.15
0.03287671232876712,6510.0,47.65,48.900000000000006,6508.75
0.03561643835616438,6510.0,53.45,53.95,6509.5
0.038356164383561646,6510.0,56.95,56.8,6510.15
0.0410958904109589,6515.0,58.849999999999994,60.05,6513.8
0.049315068493150684,6510.0,65.1,61.900000000000006,6513.2
0.052054794520547946,6510.0,67.85,63.9,6513.95
