cp,K,T,mid,price_fit,F,df,err,abs_err,price_bsm,bsm_err,bsm_abs_err
C,6675.0,0.01643835616438356,35.0,36.722000526764496,6677.45,1.0,1.7220005267644964,1.7220005267644964,73.38560324607033,38.38560324607033,38.38560324607033
P,6675.0,0.01643835616438356,32.55,34.27200052676468,6677.45,1.0,1.7220005267646812,1.7220005267646812,70.93560046131506,38.385600461315065,38.385600461315065
C,6680.0,0.01643835616438356,32.05,35.45643456076555,6677.45,1.0,3.406434560765554,3.406434560765554,72.35750554089691,40.30750554089691,40.30750554089691
P,6680.0,0.01643835616438356,34.65,35.45643456076555,6677.45,1.0,0.8064345607655525,0.8064345607655525,74.90750271657316,40.257502716573164,40.257502716573164
C,6685.0,0.01643835616438356,29.25,34.74503319786039,6677.45,1.0,5.495033197860387,5.495033197860387,122.96344277310072,93.71344277310072,93.71344277310072
P,6685.0,0.01643835616438356,36.85,34.74503319786039,6677.45,1.0,-2.1049668021396144,2.1049668021396144,130.5134396377348,93.6634396377348,93.6634396377348
C,6690.0,0.01643835616438356,26.55,34.03363183495522,6677.45,1.0,7.483631834955222,7.483631834955222,157.17768472262378,130.62768472262377,130.62768472262377
P,6690.0,0.01643835616438356,39.05,34.03363183495522,6677.45,1.0,-5.016368165044774,5.016368165044774,169.7276861938044,130.6776861938044,130.6776861938044
C,6695.0,0.01643835616438356,24.05,33.32223047205006,6677.45,1.0,9.272230472050058,9.272230472050058,184.57491879400186,160.52491879400185,160.52491879400185
C,6700.0,0.01643835616438356,21.65,32.610829109144895,6677.45,1.0,10.960829109144896,10.960829109144896,207.96199675786238,186.31199675786237,186.31199675786237
C,6705.0,0.01643835616438356,19.5,31.89942774623973,6677.45,1.0,12.39942774623973,12.39942774623973,228.62712088165063,209.12712088165063,209.12712088165063
C,6710.0,0.01643835616438356,17.35,31.188026383334563,6677.45,1.0,13.838026383334562,13.838026383334562,247.2889880221942,229.9389880221942,229.9389880221942
C,6715.0,0.01643835616438356,15.45,30.4766250204294,6677.45,1.0,15.0266250204294,15.0266250204294,0.0,-15.45,15.45
C,6720.0,0.01643835616438356,13.65,29.76522365752424,6677.45,1.0,16.11522365752424,16.11522365752424,0.0,-13.65,13.65
C,6725.0,0.01643835616438356,12.05,29.053822294619067,6677.45,1.0,17.003822294619066,17.003822294619066,0.0,-12.05,12.05
P,6725.0,0.01643835616438356,60.3,29.053822294619067,6677.45,1.0,-31.24617770538093,31.24617770538093,342.6277619779571,282.3277619779571,282.3277619779571
C,6730.0,0.01643835616438356,10.5,28.34242093171391,6677.45,1.0,17.84242093171391,17.84242093171391,0.0,-10.5,10.5
P,6730.0,0.01643835616438356,63.0,28.34242093171391,6677.45,1.0,-34.65757906828609,34.65757906828609,361.57680084596996,298.57680084596996,298.57680084596996
C,6735.0,0.01643835616438356,9.2,27.631019568808743,6677.45,1.0,18.431019568808743,18.431019568808743,0.0,-9.2,9.2
P,6735.0,0.01643835616438356,66.0,27.631019568808743,6677.45,1.0,-38.36898043119126,38.36898043119126,379.7746670415522,313.7746670415522,313.7746670415522
C,6740.0,0.01643835616438356,8.0,26.91961820590358,6677.45,1.0,18.91961820590358,18.91961820590358,0.0,-8.0,8.0
P,6740.0,0.01643835616438356,72.0,26.91961820590358,6677.45,1.0,-45.080381794096425,45.080381794096425,397.31801461298755,325.31801461298755,325.31801461298755
C,6745.0,0.01643835616438356,6.949999999999999,26.208216842998414,6677.45,1.0,19.258216842998415,19.258216842998415,0.0,-6.949999999999999,6.949999999999999
P,6745.0,0.01643835616438356,75.0,26.208216842998414,6677.45,1.0,-48.79178315700159,48.79178315700159,414.28447582149784,339.28447582149784,339.28447582149784
C,6750.0,0.01643835616438356,5.95,25.496815480093254,6677.45,1.0,19.546815480093255,19.546815480093255,0.0,-5.95,5.95
P,6750.0,0.01643835616438356,78.0,25.496815480093254,6677.45,1.0,-52.503184519906746,52.503184519906746,430.7375355971499,352.7375355971499,352.7375355971499
C,6755.0,0.01643835616438356,5.05,24.785414117188083,6677.45,1.0,19.735414117188082,19.735414117188082,0.0,-5.05,5.05
P,6755.0,0.01643835616438356,84.0,24.785414117188083,6677.45,1.0,-59.21458588281192,59.21458588281192,446.7298613426242,362.7298613426242,362.7298613426242
C,6760.0,0.01643835616438356,4.35,24.07401275428292,6677.45,1.0,19.724012754282917,19.724012754282917,0.0,-4.35,4.35
P,6760.0,0.01643835616438356,87.0,24.07401275428292,6677.45,1.0,-62.92598724571708,62.92598724571708,462.3057571208424,375.3057571208424,375.3057571208424
C,6615.0,0.019178082191780823,84.0,63.620653616909976,6678.35,1.0,-20.379346383090024,20.379346383090024,398.356454979486,314.356454979486,314.356454979486
P,6615.0,0.019178082191780823,19.65,0.27065361690961254,6678.35,1.0,-19.379346383090386,19.379346383090386,0.0,-19.65,19.65
C,6620.0,0.019178082191780823,78.0,61.801631870818326,6678.35,1.0,-16.198368129181674,16.198368129181674,381.1106566027188,303.1106566027188,303.1106566027188
P,6620.0,0.019178082191780823,20.7,3.4516318708179625,6678.35,1.0,-17.248368129182037,17.248368129182037,0.0,-20.7,20.7
C,6625.0,0.019178082191780823,75.0,59.98261012472669,6678.35,1.0,-15.01738987527331,15.01738987527331,363.21543457406233,288.21543457406233,288.21543457406233
P,6625.0,0.019178082191780823,21.8,6.632610124726327,6678.35,1.0,-15.167389875273674,15.167389875273674,0.0,-21.8,21.8
C,6630.0,0.019178082191780823,69.95,58.16358837863505,6678.35,1.0,-11.786411621364955,11.786411621364955,344.5771810918541,274.6271810918541,274.6271810918541
P,6630.0,0.019178082191780823,22.9,9.813588378634684,6678.35,1.0,-13.086411621365315,13.086411621365315,0.0,-22.9,22.9
C,6635.0,0.019178082191780823,66.0,56.344566632543405,6678.35,1.0,-9.655433367456595,9.655433367456595,325.0773577808918,259.0773577808918,259.0773577808918
P,6635.0,0.019178082191780823,24.1,12.994566632543041,6678.35,1.0,-11.10543336745696,11.10543336745696,281.727358341393,257.627358341393,257.627358341393
C,6640.0,0.019178082191780823,63.0,54.52554488645177,6678.35,1.0,-8.474455113548231,8.474455113548231,304.56204401213654,241.56204401213654,241.56204401213654
P,6640.0,0.019178082191780823,25.25,16.175544886451405,6678.35,1.0,-9.074455113548595,9.074455113548595,266.2120435978313,240.96204359783133,240.96204359783133
C,6645.0,0.019178082191780823,60.75,52.70652314036012,6678.35,1.0,-8.043476859639881,8.043476859639881,282.825109729803,222.075109729803,222.075109729803
P,6645.0,0.019178082191780823,26.55,19.356523140359755,6678.35,1.0,-7.193476859640246,7.193476859640246,249.47510898067821,222.9251089806782,222.9251089806782
P,6650.0,0.019178082191780823,28.049999999999997,22.53750139426812,6678.35,1.0,-5.512498605731878,5.512498605731878,231.2294334619969,203.1794334619969,203.1794334619969
C,6655.0,0.019178082191780823,46.05,49.06847964817684,6678.35,1.0,3.018479648176843,3.018479648176843,234.4038450010762,188.3538450010762,188.3538450010762
P,6655.0,0.019178082191780823,29.549999999999997,25.718479648176476,6678.35,1.0,-3.831520351823521,3.831520351823521,211.05384122526993,181.50384122526992,181.50384122526992
C,6660.0,0.019178082191780823,49.35,47.2494579020852,6678.35,1.0,-2.100542097914804,2.100542097914804,206.6345675817165,157.28456758171652,157.28456758171652
P,6660.0,0.019178082191780823,31.15,28.899457902084833,6678.35,1.0,-2.250542097915165,2.250542097915165,188.28457031873586,157.13457031873585,157.13457031873585
C,6665.0,0.019178082191780823,46.05,45.43043615599356,6678.35,1.0,-0.6195638440064357,0.6195638440064357,175.10827850647183,129.05827850647182,129.05827850647182
P,6665.0,0.019178082191780823,32.75,32.0804361559932,6678.35,1.0,-0.6695638440068024,0.6695638440068024,161.75827854691852,129.00827854691852,129.00827854691852
C,6670.0,0.019178082191780823,42.95,43.61141440990191,6678.35,1.0,0.6614144099019086,0.6614144099019086,137.39138154137117,94.44138154137117,94.44138154137117
P,6670.0,0.019178082191780823,34.55,35.26141440990155,6678.35,1.0,0.7114144099015505,0.7114144099015505,129.04137802544255,94.49137802544256,94.49137802544256
C,6675.0,0.019178082191780823,39.85,41.792392663810276,6678.35,1.0,1.9423926638102742,1.9423926638102742,86.05973420308555,46.20973420308555,46.20973420308555
P,6675.0,0.019178082191780823,36.55,38.44239266380991,6678.35,1.0,1.8923926638099147,1.8923926638099147,82.70973863273412,46.15973863273412,46.15973863273412
C,6680.0,0.019178082191780823,36.85,40.26835132324858,6678.35,1.0,3.4183513232485794,3.4183513232485794,58.405624329326656,21.555624329326655,21.555624329326655
P,6680.0,0.019178082191780823,38.5,40.26835132324858,6678.35,1.0,1.7683513232485808,1.7683513232485808,60.05562481726156,21.55562481726156,21.55562481726156
C,6685.0,0.019178082191780823,34.0,39.34320959391456,6678.35,1.0,5.343209593914558,5.343209593914558,115.621204600704,81.621204600704,81.621204600704
P,6685.0,0.019178082191780823,40.65,39.34320959391456,6678.35,1.0,-1.3067904060854403,1.3067904060854403,122.27120140499665,81.62120140499664,81.62120140499664
C,6690.0,0.019178082191780823,31.25,38.41806786458055,6678.35,1.0,7.16806786458055,7.16806786458055,151.6595776610243,120.40957766102429,120.40957766102429
P,6690.0,0.019178082191780823,43.0,38.41806786458055,6678.35,1.0,-4.58193213541945,4.58193213541945,163.3095829641802,120.30958296418021,120.30958296418021
C,6695.0,0.019178082191780823,28.65,37.492926135246535,6678.35,1.0,8.842926135246536,8.842926135246536,180.0040919144435,151.3540919144435,151.3540919144435
P,6695.0,0.019178082191780823,45.3,37.492926135246535,6678.35,1.0,-7.8070738647534625,7.8070738647534625,196.65409617623982,151.3540961762398,151.3540961762398
C,6700.0,0.019178082191780823,26.15,36.56778440591251,6678.35,1.0,10.417784405912514,10.417784405912514,203.99484082680874,177.84484082680873,177.84484082680873
C,6705.0,0.019178082191780823,23.75,35.6426426765785,6678.35,1.0,11.892642676578497,11.892642676578497,225.08754003421336,201.33754003421336,201.33754003421336
C,6710.0,0.019178082191780823,21.55,34.71750094724448,6678.35,1.0,13.16750094724448,13.16750094724448,244.0726159174069,222.52261591740688,222.52261591740688
C,6715.0,0.019178082191780823,18.4,33.792359217910466,6678.35,1.0,15.392359217910467,15.392359217910467,261.43608289701797,243.03608289701796,243.03608289701796
