T,K,C,P,F
0.00821917808219178,6585.0,11.600000000000001,12.7,6583.9
0.010958904109589041,6585.0,17.6,18.1,6584.5
0.0136986301369863,6585.0,28.5,28.2,6585.3
0.01643835616438356,6585.0,33.45,32.45,6586.0
0.019178082191780823,6590.0,36.55,36.15,6590.4
0.0273972602739726,6590.0,40.45,41.9,6588.55
0.030136986301369864,6590.0,43.75,44.5,6589.25
0.03287671232876712,6590.0,46.900000000000006,47.2,6589.7
0.03561643835616438,6590.0,50.45,49.95,6590.5
0.038356164383561646,6590.0,54.7,52.25,6592.45
0.04657534246575343,6595.0,55.8,57.6,6593.2
0.049315068493150684,6595.0,59.05,60.75,6593.3
