cp,K,T,F,df,mid,iv,expiry
C,6585.0,0.005479452054794521,6660.7,1.0,80.30000000000001,0.13922654079390773,2025-09-25
P,6585.0,0.005479452054794521,6660.7,1.0,4.65,0.13969845748309243,2025-09-25
C,6590.0,0.005479452054794521,6660.7,1.0,75.9,0.138217173744128,2025-09-25
P,6590.0,0.005479452054794521,6660.7,1.0,5.15,0.1377761388625373,2025-09-25
C,6595.0,0.005479452054794521,6660.7,1.0,71.30000000000001,0.13497376494971716,2025-09-25
P,6595.0,0.005479452054794521,6660.7,1.0,5.65,0.1353910404685361,2025-09-25
C,6600.0,0.005479452054794521,6660.7,1.0,66.85,0.13257318049841696,2025-09-25
P,6600.0,0.005479452054794521,6660.7,1.0,6.2,0.13296726084445837,2025-09-25
C,6605.0,0.005479452054794521,6660.7,1.0,62.5,0.13046404257913255,2025-09-25
P,6605.0,0.005479452054794521,6660.7,1.0,6.85,0.13083619801902588,2025-09-25
C,6610.0,0.005479452054794521,6660.7,1.0,58.25,0.12855017379850261,2025-09-25
P,6610.0,0.005479452054794521,6660.7,1.0,7.550000000000001,0.1285501737985019,2025-09-25
C,6615.0,0.005479452054794521,6660.7,1.0,53.95,0.12574553641221534,2025-09-25
P,6615.0,0.005479452054794521,6660.7,1.0,8.3,0.12608062110267942,2025-09-25
C,6620.0,0.005479452054794521,6660.7,1.0,49.8,0.12339944276974085,2025-09-25
P,6620.0,0.005479452054794521,6660.7,1.0,9.2,0.12403741558506075,2025-09-25
C,6625.0,0.005479452054794521,6660.7,1.0,45.85,0.1216979496484676,2025-09-25
P,6625.0,0.005479452054794521,6660.7,1.0,10.2,0.1220023410810714,2025-09-25
C,6630.0,0.005479452054794521,6660.7,1.0,41.95,0.11962566319974884,2025-09-25
P,6630.0,0.005479452054794521,6660.7,1.0,11.25,0.11962566319974886,2025-09-25
C,6635.0,0.005479452054794521,6660.7,1.0,38.15,0.11744925147745786,2025-09-25
P,6635.0,0.005479452054794521,6660.7,1.0,12.399999999999999,0.11716802634697561,2025-09-25
C,6640.0,0.005479452054794521,6660.7,1.0,34.55,0.11566318199764133,2025-09-25
P,6640.0,0.005479452054794521,6660.7,1.0,13.8,0.11539115071308026,2025-09-25
C,6645.0,0.005479452054794521,6660.7,1.0,31.0,0.11337995604838774,2025-09-25
P,6645.0,0.005479452054794521,6660.7,1.0,15.3,0.1133799560483862,2025-09-25
C,6650.0,0.005479452054794521,6660.7,1.0,27.65,0.11135213578826278,2025-09-25
P,6650.0,0.005479452054794521,6660.7,1.0,16.9,0.11109283440670335,2025-09-25
C,6655.0,0.005479452054794521,6660.7,1.0,24.45,0.10924905279611595,2025-09-25
P,6655.0,0.005479452054794521,6660.7,1.0,18.75,0.10924905279611577,2025-09-25
C,6660.0,0.005479452054794521,6660.7,1.0,21.45,0.10726792307653976,2025-09-25
P,6660.0,0.005479452054794521,6660.7,1.0,20.75,0.10726792307654154,2025-09-25
C,6665.0,0.005479452054794521,6660.7,1.0,18.65,0.10535181629582491,2025-09-25
P,6665.0,0.005479452054794521,6660.7,1.0,22.95,0.10535181629582113,2025-09-25
C,6670.0,0.005479452054794521,6660.7,1.0,16.05,0.10345223261137994,2025-09-25
P,6670.0,0.005479452054794521,6660.7,1.0,25.35,0.10345223261137929,2025-09-25
C,6675.0,0.005479452054794521,6660.7,1.0,13.65,0.10152709649042621,2025-09-25
P,6675.0,0.005479452054794521,6660.7,1.0,27.95,0.10152709649042627,2025-09-25
C,6680.0,0.005479452054794521,6660.7,1.0,11.5,0.09981310049899798,2025-09-25
