T,K,C,P,F
0.005479452054794521,6535.0,22.35,24.25,6533.1
0.0136986301369863,6530.0,29.85,27.4,6532.45
0.01643835616438356,6535.0,31.25,33.05,6533.2
0.019178082191780823,6535.0,39.900000000000006,41.05,6533.85
0.021917808219178082,6535.0,44.25,44.6,6534.65
0.024657534246575342,6535.0,47.95,47.599999999999994,6535.35
0.03287671232876712,6535.0,52.5,50.7,6536.8
0.03561643835616438,6540.0,52.3,54.6,6537.7
0.038356164383561646,6540.0,55.3,56.7,6538.6
0.0410958904109589,6540.0,58.05,58.9,6539.15
0.043835616438356165,6540.0,61.95,60.849999999999994,6541.1
0.052054794520547946,6540.0,65.35,63.55,6541.8
