T,F,q
0.005479452054794521,6660.7,-0.10359959490138518
0.00821917808219178,6662.5,-0.10194138178952915
0.01643835616438356,6663.15,-0.05690536075296903
0.019178082191780823,6662.95,-0.04721088870251679
0.021917808219178082,6664.85,-0.05431805124009609
0.024657534246575342,6665.75,-0.05375883482687222
0.0273972602739726,6667.55,-0.05823797604161463
0.03561643835616438,6668.0,-0.04669332039399705
0.038356164383561646,6668.8,-0.04648584143818843
0.0410958904109589,6669.65,-0.04648809521883971
0.043835616438356165,6670.1,-0.04512169232490484
0.04657534246575343,6673.0,-0.051800344831675095
