T,F,q
0.005479452054794521,6610.45,-0.10190123596373132
0.00821917808219178,6609.85,-0.05689053499346176
0.01643835616438356,6612.9,-0.05650927384294288
0.019178082191780823,6613.6,-0.053955743214429766
0.021917808219178082,6614.3,-0.052040084122767706
0.024657534246575342,6615.05,-0.050856214030020795
0.0273972602739726,6616.75,-0.055149513158079526
0.03561643835616438,6617.45,-0.04539286249520426
0.038356164383561646,6617.55,-0.042544492183142234
0.0410958904109589,6619.0,-0.04503939055785629
0.043835616438356165,6619.95,-0.04549838542510551
0.04657534246575343,6621.75,-0.04865918465520682
