cp,K,T,F,df,mid,iv,expiry
C,6375.0,0.005479452054794521,6451.5,1.0,84.35,0.17354640078151598,2025-09-05
P,6375.0,0.005479452054794521,6451.5,1.0,7.949999999999999,0.1743573867886139,2025-09-05
C,6380.0,0.005479452054794521,6451.5,1.0,80.0,0.1713698632486618,2025-09-05
P,6380.0,0.005479452054794521,6451.5,1.0,8.75,0.17330253971162998,2025-09-05
C,6385.0,0.005479452054794521,6451.5,1.0,75.8,0.16988795571015525,2025-09-05
P,6385.0,0.005479452054794521,6451.5,1.0,9.45,0.17099676912582223,2025-09-05
C,6390.0,0.005479452054794521,6451.5,1.0,71.65,0.16826829142226024,2025-09-05
P,6390.0,0.005479452054794521,6451.5,1.0,10.3,0.16932960951111423,2025-09-05
C,6395.0,0.005479452054794521,6451.5,1.0,67.55,0.16649398520918868,2025-09-05
P,6395.0,0.005479452054794521,6451.5,1.0,11.15,0.1671734142542041,2025-09-05
C,6400.0,0.005479452054794521,6451.5,1.0,63.4,0.1638938059692389,2025-09-05
P,6400.0,0.005479452054794521,6451.5,1.0,12.15,0.16552904310539926,2025-09-05
C,6405.0,0.005479452054794521,6451.5,1.0,59.5,0.16241624335203075,2025-09-05
P,6405.0,0.005479452054794521,6451.5,1.0,13.15,0.16336223248318654,2025-09-05
C,6410.0,0.005479452054794521,6451.5,1.0,55.599999999999994,0.1603848621166614,2025-09-05
P,6410.0,0.005479452054794521,6451.5,1.0,14.25,0.16129972772263412,2025-09-05
C,6415.0,0.005479452054794521,6451.5,1.0,51.900000000000006,0.1590002668977754,2025-09-05
P,6415.0,0.005479452054794521,6451.5,1.0,15.45,0.15929582092533437,2025-09-05
C,6420.0,0.005479452054794521,6451.5,1.0,48.2,0.1570220802043256,2025-09-05
P,6420.0,0.005479452054794521,6451.5,1.0,16.75,0.15730951264030002,2025-09-05
C,6425.0,0.005479452054794521,6451.5,1.0,44.599999999999994,0.1550230910367633,2025-09-05
P,6425.0,0.005479452054794521,6451.5,1.0,18.15,0.15530351704890077,2025-09-05
C,6430.0,0.005479452054794521,6451.5,1.0,41.05,0.15269413182161795,2025-09-05
P,6430.0,0.005479452054794521,6451.5,1.0,19.65,0.15324324833109731,2025-09-05
C,6435.0,0.005479452054794521,6451.5,1.0,37.7,0.150825978194908,2025-09-05
P,6435.0,0.005479452054794521,6451.5,1.0,21.2,0.15082597819490792,2025-09-05
C,6440.0,0.005479452054794521,6451.5,1.0,34.400000000000006,0.1485624271663927,2025-09-05
P,6440.0,0.005479452054794521,6451.5,1.0,22.9,0.14856242716639204,2025-09-05
C,6445.0,0.005479452054794521,6451.5,1.0,31.2,0.1461448555982618,2025-09-05
P,6445.0,0.005479452054794521,6451.5,1.0,24.8,0.14667228521138465,2025-09-05
C,6450.0,0.005479452054794521,6451.5,1.0,28.2,0.1440629600986687,2025-09-05
P,6450.0,0.005479452054794521,6451.5,1.0,26.7,0.14406296009866879,2025-09-05
C,6455.0,0.005479452054794521,6451.5,1.0,25.3,0.1417530864726124,2025-09-05
P,6455.0,0.005479452054794521,6451.5,1.0,28.8,0.1417530864726105,2025-09-05
C,6460.0,0.005479452054794521,6451.5,1.0,22.549999999999997,0.1394431747661589,2025-09-05
P,6460.0,0.005479452054794521,6451.5,1.0,31.1,0.13970758428934565,2025-09-05
C,6465.0,0.005479452054794521,6451.5,1.0,19.950000000000003,0.1370992813300774,2025-09-05
P,6465.0,0.005479452054794521,6451.5,1.0,33.5,0.13736706066534268,2025-09-05
C,6470.0,0.005479452054794521,6451.5,1.0,17.549999999999997,0.1349611976973729,2025-09-05
P,6470.0,0.005479452054794521,6451.5,1.0,36.099999999999994,0.1352342322292167,2025-09-05
C,6475.0,0.005479452054794521,6451.5,1.0,15.3,0.13273693516087745,2025-09-05
P,6475.0,0.005479452054794521,6451.5,1.0,38.900000000000006,0.1332978362683167,2025-09-05
C,6480.0,0.005479452054794521,6451.5,1.0,13.2,0.1303982510863063,2025-09-05
P,6480.0,0.005479452054794521,6451.5,1.0,41.8,0.13097926946934652,2025-09-05
C,6485.0,0.005479452054794521,6451.5,1.0,11.3,0.1282187907755521,2025-09-05
P,6485.0,0.005479452054794521,6451.5,1.0,44.900000000000006,0.12882594019979032,2025-09-05
C,6490.0,0.005479452054794521,6451.5,1.0,9.600000000000001,0.12621581487188932,2025-09-05
P,6490.0,0.005479452054794521,6451.5,1.0,48.2,0.12685613037441715,2025-09-05
C,6495.0,0.005479452054794521,6451.5,1.0,8.100000000000001,0.12442898700972208,2025-09-05
P,6495.0,0.005479452054794521,6451.5,1.0,51.65,0.12477006023471383,2025-09-05
C,6500.0,0.005479452054794521,6451.5,1.0,6.800000000000001,0.12292909432628332,2025-09-05
P,6500.0,0.005479452054794521,6451.5,1.0,55.3,0.12292909432628454,2025-09-05
C,6505.0,0.005479452054794521,6451.5,1.0,5.550000000000001,0.12063299982285682,2025-09-05
P,6505.0,0.005479452054794521,6451.5,1.0,59.15,0.12143242613094592,2025-09-05
C,6510.0,0.005479452054794521,6451.5,1.0,4.550000000000001,0.11912163692321143,2025-09-05
P,6510.0,0.005479452054794521,6451.5,1.0,63.1,0.11956198897206674,2025-09-05
C,6515.0,0.005479452054794521,6451.5,1.0,3.7,0.11775746923924299,2025-09-05
P,6515.0,0.005479452054794521,6451.5,1.0,67.25,0.11824717500797922,2025-09-05
C,6520.0,0.005479452054794521,6451.5,1.0,2.975,0.11642308730998076,2025-09-05
P,6520.0,0.005479452054794521,6451.5,1.0,71.44999999999999,0.11614599026231796,2025-09-05
C,6375.0,0.0136986301369863,6452.1,1.0,88.9,0.12937807201874824,2025-09-08
P,6375.0,0.0136986301369863,6452.1,1.0,11.85,0.12960676991175712,2025-09-08
C,6380.0,0.0136986301369863,6452.1,1.0,86.95,0.13773246212257656,2025-09-08
P,6380.0,0.0136986301369863,6452.1,1.0,12.7,0.12841936569941068,2025-09-08
C,6385.0,0.0136986301369863,6452.1,1.0,80.6,0.12676487934558278,2025-09-08
P,6385.0,0.0136986301369863,6452.1,1.0,13.55,0.12697864142855994,2025-09-08
C,6390.0,0.0136986301369863,6452.1,1.0,76.4,0.12487791904985779,2025-09-08
P,6390.0,0.0136986301369863,6452.1,1.0,14.45,0.12550001940737612,2025-09-08
C,6395.0,0.0136986301369863,6452.1,1.0,72.5,0.12397117006218242,2025-09-08
P,6395.0,0.0136986301369863,6452.1,1.0,15.45,0.12417223258228748,2025-09-08
C,6400.0,0.0136986301369863,6452.1,1.0,68.5,0.12238023145277054,2025-09-08
P,6400.0,0.0136986301369863,6452.1,1.0,16.5,0.12277122929120499,2025-09-08
C,6405.0,0.0136986301369863,6452.1,1.0,64.6,0.12090606992872059,2025-09-08
P,6405.0,0.0136986301369863,6452.1,1.0,17.6,0.1212868548960531,2025-09-08
C,6410.0,0.0136986301369863,6452.1,1.0,60.85,0.11970885742652207,2025-09-08
P,6410.0,0.0136986301369863,6452.1,1.0,18.8,0.11989454572408197,2025-09-08
C,6415.0,0.0136986301369863,6452.1,1.0,57.099999999999994,0.1182082168378533,2025-09-08
P,6415.0,0.0136986301369863,6452.1,1.0,20.049999999999997,0.11838974757949473,2025-09-08
C,6420.0,0.0136986301369863,6452.1,1.0,53.3,0.11622897080035742,2025-09-08
P,6420.0,0.0136986301369863,6452.1,1.0,21.4,0.11694048725262343,2025-09-08
C,6425.0,0.0136986301369863,6452.1,1.0,49.900000000000006,0.1153517748329401,2025-09-08
P,6425.0,0.0136986301369863,6452.1,1.0,22.85,0.11552636412087564,2025-09-08
C,6430.0,0.0136986301369863,6452.1,1.0,46.45,0.11395668879774244,2025-09-08
P,6430.0,0.0136986301369863,6452.1,1.0,24.4,0.11412852861240284,2025-09-08
C,6435.0,0.0136986301369863,6452.1,1.0,43.05,0.11239017026281094,2025-09-08
P,6435.0,0.0136986301369863,6452.1,1.0,26.0,0.11255977220394228,2025-09-08
C,6440.0,0.0136986301369863,6452.1,1.0,39.8,0.11097641186758943,2025-09-08
P,6440.0,0.0136986301369863,6452.1,1.0,27.7,0.11097641186759125,2025-09-08
C,6445.0,0.0136986301369863,6452.1,1.0,36.599999999999994,0.1093606154869504,2025-09-08
P,6445.0,0.0136986301369863,6452.1,1.0,29.6,0.10969396524628022,2025-09-08
C,6450.0,0.0136986301369863,6452.1,1.0,33.599999999999994,0.10802665550642203,2025-09-08
P,6450.0,0.0136986301369863,6452.1,1.0,31.5,0.10802665550642279,2025-09-08
C,6455.0,0.0136986301369863,6452.1,1.0,30.7,0.1066240215229868,2025-09-08
P,6455.0,0.0136986301369863,6452.1,1.0,33.599999999999994,0.1066240215229876,2025-09-08
C,6460.0,0.0136986301369863,6452.1,1.0,27.9,0.10513721581027141,2025-09-08
P,6460.0,0.0136986301369863,6452.1,1.0,35.8,0.1051372158102719,2025-09-08
C,6465.0,0.0136986301369863,6452.1,1.0,25.2,0.10354944844903202,2025-09-08
P,6465.0,0.0136986301369863,6452.1,1.0,38.15,0.1037175155872943,2025-09-08
C,6470.0,0.0136986301369863,6452.1,1.0,22.7,0.10218240184418372,2025-09-08
P,6470.0,0.0136986301369863,6452.1,1.0,40.599999999999994,0.10218240184418727,2025-09-08
C,6475.0,0.0136986301369863,6452.1,1.0,20.3,0.10068620023151915,2025-09-08
P,6475.0,0.0136986301369863,6452.1,1.0,43.2,0.1006862002315225,2025-09-08
C,6480.0,0.0136986301369863,6452.1,1.0,18.049999999999997,0.09921871285409123,2025-09-08
P,6480.0,0.0136986301369863,6452.1,1.0,45.95,0.09921871285409013,2025-09-08
C,6485.0,0.0136986301369863,6452.1,1.0,15.950000000000001,0.09777201366221429,2025-09-08
P,6485.0,0.0136986301369863,6452.1,1.0,48.9,0.09795471429153327,2025-09-08
C,6490.0,0.0136986301369863,6452.1,1.0,14.0,0.09634070719101714,2025-09-08
