T,K,C,P,F
0.005479452054794521,6660.0,21.45,20.75,6660.7
0.00821917808219178,6660.0,29.05,26.55,6662.5
0.01643835616438356,6665.0,32.65,34.5,6663.15
0.019178082191780823,6665.0,38.5,40.55,6662.95
0.021917808219178082,6665.0,44.25,44.4,6664.85
0.024657534246575342,6665.0,48.849999999999994,48.1,6665.75
0.0273972602739726,6670.0,53.599999999999994,56.05,6667.55
0.03561643835616438,6670.0,57.95,59.95,6668.0
0.038356164383561646,6670.0,61.75,62.95,6668.8
0.0410958904109589,6670.0,65.65,66.0,6669.65
0.043835616438356165,6670.0,69.05,68.95,6670.1
0.04657534246575343,6675.0,71.25,73.25,6673.0
