T,K,C,P,F
0.010958904109589041,6640.0,23.7,23.35,6640.35
0.0136986301369863,6640.0,29.65,28.7,6640.95
0.01643835616438356,6640.0,34.900000000000006,33.25,6641.65
0.019178082191780823,6640.0,39.45,37.099999999999994,6642.35
0.021917808219178082,6645.0,41.900000000000006,42.55,6644.35
0.030136986301369864,6645.0,46.7,46.9,6644.8
0.03287671232876712,6645.0,51.0,51.2,6644.8
0.03561643835616438,6645.0,55.349999999999994,53.7,6646.65
0.038356164383561646,6650.0,56.0,58.15,6647.85
0.0410958904109589,6650.0,62.25,62.5,6649.75
0.049315068493150684,6650.0,65.5,65.7,6649.8
0.052054794520547946,6650.0,68.6,68.0,6650.6
